City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
190,Thompson,CA,55.7435,-97.8558,23.63,95,100,8.01,light snow
191,Tura,IN,25.5198,90.2201,75.34,74,3,3.6,clear sky
192,Kastrakion,GR,39.7156,21.6181,64.42,35,3,3.65,clear sky
193,Takoradi,GH,4.8845,-1.7554,76.89,88,99,3.2,light rain
194,Mae Hong Son,TH,19.3003,97.9685,89.17,53,66,1.97,broken clouds
195,Alice Springs,AU,-23.7,133.8833,92.75,20,5,17.27,clear sky
196,Zhezkazgan,KZ,47.8043,67.7144,39.18,65,40,11.18,scattered clouds
197,Elko,US,41.0002,-115.5012,35.64,64,75,1.99,broken clouds
198,Thomasville,US,35.8826,-80.082,60.04,88,100,4.68,overcast clouds
199,Bengkulu,ID,-3.8004,102.2655,76.14,90,100,1.77,overcast clouds
200,Deputatskiy,RU,69.3,139.9,12.88,86,95,21.61,overcast clouds
201,Pacific Grove,US,36.6177,-121.9166,55.78,83,0,8.99,clear sky
202,Warwick,US,41.7001,-71.4162,67.24,87,100,5.75,mist
203,Galle,LK,6.0367,80.217,81.09,77,100,4.45,overcast clouds
204,Trenggalek,ID,-8.05,111.7167,83.55,70,75,6.46,broken clouds
205,Acarau,BR,-2.8856,-40.12,77.99,78,100,13.02,overcast clouds
206,Ambulu,ID,-8.345,113.6058,81.18,76,94,6.02,overcast clouds
207,Talnakh,RU,69.4865,88.3972,5.49,96,87,2.86,overcast clouds
208,Goya,AR,-29.14,-59.2626,72.14,52,61,7.9,broken clouds
209,Nikolskoye,RU,59.7035,30.7861,39.09,97,100,5.21,overcast clouds
210,Turkistan,KZ,43.0,68.0,53.01,77,100,8.43,overcast clouds
211,Abha,SA,18.2164,42.5053,57.45,82,4,0.0,clear sky
212,Keetmanshoop,NA,-26.5833,18.1333,68.31,27,99,2.68,overcast clouds
213,Deogarh,IN,21.5333,84.7333,81.55,53,0,0.85,clear sky
214,Solnechnyy,RU,50.7214,136.6319,40.82,56,100,6.15,light rain
215,Saint Anthony,US,45.0205,-93.218,42.71,82,0,0.0,clear sky
216,Tadine,NC,-21.55,167.8833,70.63,88,100,14.07,overcast clouds
217,Batagay-Alyta,RU,67.8006,130.4114,17.42,69,100,6.08,overcast clouds
218,Arraial Do Cabo,BR,-22.9661,-42.0278,70.18,79,9,7.99,clear sky
219,Kuytun,RU,54.3419,101.5036,35.82,45,10,12.03,clear sky
220,Kongolo,CD,-5.3833,27.0,68.47,98,84,3.4,light rain
221,Akyab,MM,20.15,92.9,80.65,74,20,3.62,few clouds
222,Bluff,NZ,-46.6,168.3333,50.81,90,100,6.93,light rain
223,Lazaro Cardenas,MX,17.9583,-102.2,79.41,86,43,4.43,scattered clouds
224,Channagiri,IN,14.0333,75.9333,75.15,53,6,6.08,clear sky
225,Shambu,ET,9.5667,37.1,50.07,89,14,2.73,few clouds
226,Coahuayana,MX,18.7333,-103.6833,77.09,92,47,1.12,scattered clouds
227,Vulturu,RO,45.6167,27.4167,59.58,74,84,9.28,broken clouds
228,Bahia Honda,CU,22.9036,-83.1592,72.9,79,18,3.29,few clouds
229,Taonan,CN,45.3333,122.7833,50.85,42,59,13.0,broken clouds
230,Luwuk,ID,-0.9516,122.7875,89.26,59,97,3.24,overcast clouds
231,Khorixas,NA,-20.3667,14.9667,67.26,41,92,2.84,overcast clouds
232,Kahului,US,20.8947,-156.47,82.42,76,20,16.11,few clouds
233,Asau,RO,46.4333,26.4,52.72,78,67,3.2,broken clouds
234,Longyearbyen,SJ,78.2186,15.6401,13.84,73,20,10.36,few clouds
235,Izhma,RU,65.0083,53.9113,30.65,96,100,5.41,overcast clouds
236,Haines Junction,CA,60.7522,-137.5108,15.75,86,80,2.3,broken clouds
237,Saint-Augustin,CA,51.226,-58.6502,50.85,96,99,7.43,overcast clouds
238,Muisne,EC,0.6,-80.0333,74.25,83,100,7.02,overcast clouds
239,Buala,SB,-8.145,159.5921,83.79,75,44,6.64,light rain
240,Strezhevoy,RU,60.7333,77.5889,31.42,84,100,11.63,overcast clouds
241,Onega,RU,63.9061,38.1404,30.99,86,93,8.12,overcast clouds
242,La Ronge,CA,55.1001,-105.2842,32.22,80,100,2.3,overcast clouds
243,Shakawe,BW,-18.3667,21.85,73.24,56,100,3.4,overcast clouds
244,Laguna,US,38.421,-121.4238,62.31,64,0,6.91,clear sky
245,Nogales,MX,31.3086,-110.9422,49.57,46,0,4.61,clear sky
246,Tavda,RU,58.0425,65.2726,27.3,87,14,4.83,few clouds
247,Shimoda,JP,34.6667,138.95,63.1,48,0,11.97,clear sky
248,Mitsamiouli,KM,-11.3847,43.2844,76.86,75,21,17.45,few clouds
249,Tazovskiy,RU,67.4667,78.7,17.35,90,72,10.51,broken clouds
250,Tiznit,MA,29.5833,-9.5,76.37,17,100,12.17,overcast clouds
251,Hambantota,LK,6.1241,81.1185,83.5,66,97,1.45,light rain
252,Ust-Nera,RU,64.5667,143.2,18.82,91,100,12.28,light snow
253,San Patricio,US,28.017,-97.5169,71.83,34,9,5.57,clear sky
