City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
272,Asfi,MA,73.94,broken clouds,32.2994,-9.2372,Hôtel Abda
273,Monrovia,LR,77.31,moderate rain,6.3005,-10.7969,Sunset Inn
275,Axim,GH,77.85,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
277,Agadez,NE,72.95,scattered clouds,19.75,10.25,
279,Bud,US,71.85,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
281,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
284,Pacific Grove,US,68.02,smoke,36.6177,-121.9166,Lovers Point Inn
285,Tucupita,VE,76.93,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
286,San Andres,CO,78.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
287,Hun,LY,65.32,clear sky,29.1268,15.9477,Alrwasi Hotel
288,Karratha,AU,79.21,clear sky,-20.7377,116.8463,ibis Styles Karratha
289,Half Moon Bay,US,76.78,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
290,Anjiang,CN,67.01,overcast clouds,27.3194,110.1031,Dahua Hotel
292,Russell,US,70.83,clear sky,32.3502,-85.1999,Macs
293,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
295,Umm Kaddadah,SD,76.69,clear sky,13.6017,26.6876,
298,Erzin,TR,66.2,clear sky,36.9559,36.2,Artemis Otel
299,Flinders,AU,77.05,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
300,Mecca,SA,78.94,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
303,Santa Rosa,PH,87.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
304,Nishihara,JP,74.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
305,Sinaloa,MX,84.65,broken clouds,25.0,-107.5,
306,Port Said,EG,73.38,scattered clouds,31.2565,32.2841,Aracan Hotel
307,Aripuana,BR,74.68,overcast clouds,-9.1667,-60.6333,
308,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
310,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
312,Sinnamary,GF,80.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
313,Waw,SS,72.84,clear sky,7.7029,27.9953,Universal Gab Hotel
314,Miranda,CO,69.93,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
315,Katobu,ID,87.78,broken clouds,-4.9408,122.5276,La Ode Husein
320,Itupiranga,BR,82.72,overcast clouds,-5.1347,-49.3267,Hotel Panorama
321,Vila Franca Do Campo,PT,64.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
323,Jertih,MY,78.4,heavy intensity rain,5.7336,102.4897,One Utama Hotel
325,Itaituba,BR,75.61,overcast clouds,-4.2761,-55.9836,Hotel Campos
326,Muroto,JP,62.64,clear sky,33.2833,134.15,Oota Ryokan
327,Westport,US,62.28,mist,41.1415,-73.3579,The Westport Inn
329,Beyla,GN,69.01,light rain,8.6833,-8.6333,DIAN SINKO
330,Praia Da Vitoria,PT,61.75,clear sky,38.7333,-27.0667,Hotel Branco I
332,Barra Patuca,HN,79.52,scattered clouds,15.8,-84.2833,
334,Libenge,CD,72.1,overcast clouds,3.65,18.6333,
337,Cairns,AU,95.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
338,Nanakuli,US,89.55,few clouds,21.3906,-158.1547,Camp Pālehua
339,Baturaja,ID,75.69,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
345,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
347,Dullewala,PK,70.07,clear sky,31.8359,71.4362,Sajid fruit shop
348,Faanui,PF,79.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
350,Blythe,US,73.85,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
352,Lagunas,PE,75.74,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
353,Buta,CD,69.26,overcast clouds,2.7858,24.73,Hôtel BOPANDO
354,Wuzhou,CN,75.69,few clouds,23.4833,111.3167,Wuzhou Hostel
355,Necochea,AR,64.58,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
356,Hobe Sound,US,78.78,clear sky,27.0595,-80.1364,Floridays RV Park
357,Port Lincoln,AU,62.11,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
359,Itarema,BR,78.82,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
361,Kloulklubed,PW,83.26,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
362,Tezu,IN,67.32,heavy intensity rain,27.9167,96.1667,Circuit House
363,Madimba,TZ,74.98,overcast clouds,-10.4,40.3333,
365,Mogadishu,SO,78.01,few clouds,2.0371,45.3438,Hotel Juba
368,Daru,PG,86.5,clear sky,-9.0763,143.2092,Daru Lodge
370,Saint-Leu,RE,70.32,clear sky,-21.15,55.2833,La Caz Oceane
371,Cavalcante,BR,66.22,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
372,Le Port,RE,71.26,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
373,Filadelfia,US,61.05,mist,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
376,Villa Corzo,MX,69.49,few clouds,16.1667,-93.25,FRACCION LA FLORIDA
378,Porto Novo,BJ,77.56,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
380,Morros,BR,76.84,overcast clouds,-9.4467,-46.3003,
381,Kidal,ML,78.04,overcast clouds,18.4411,1.4078,
382,Sao Francisco,BR,71.96,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
384,Rio Brilhante,BR,72.48,clear sky,-21.8019,-54.5464,Hotel Cattani
387,Am Timan,TD,73.72,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
388,Broome,US,61.2,fog,42.2506,-75.833,Chenango Valley State Park
393,Urucara,BR,82.22,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
398,Vaitape,PF,79.63,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
400,Mocuba,MZ,71.08,clear sky,-16.8392,36.9856,Phama Lodge
402,Roma,US,61.95,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
403,Lodja,CD,69.67,light rain,-3.4833,23.4333,
406,Doha,QA,82.38,clear sky,25.2867,51.5333,Mövenpick Doha
407,Banda Aceh,ID,81.75,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
408,Awjilah,LY,65.97,clear sky,29.1081,21.2869,المنزل
410,Hede,CN,63.99,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
411,Kotido,UG,72.57,scattered clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
412,Barra,BR,76.98,moderate rain,-11.0894,-43.1417,Pousada Bahia
413,Mount Hagen,PG,68.76,scattered clouds,-5.8581,144.2274,Highlander Hotel & Apartments
414,Lake City,US,66.85,clear sky,30.1897,-82.6393,Ramada Limited Lake City
416,Mareeba,AU,90.45,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
417,Kwekwe,ZW,66.51,overcast clouds,-18.9281,29.8149,"Golden Mile Hotel, Kwekwe"
418,Labuhan,ID,80.96,overcast clouds,-6.8844,112.2051,DoubleFAG
419,Mudon,MM,77.76,scattered clouds,16.2578,97.7164,Motel Mudon
420,Antalaha,MG,66.27,few clouds,-14.9003,50.2788,Hotel Vitasoa
425,Viedma,AR,61.77,overcast clouds,-40.8135,-62.9967,Hotel Cristal
428,Gunnedah,AU,71.11,scattered clouds,-30.9833,150.25,Gunnedah Motor Inn
431,Praia,CV,76.86,few clouds,14.9215,-23.5087,LT Aparthotel
433,Brisbane,AU,81.82,few clouds,-27.4679,153.0281,Royal On The Park Brisbane
434,Dunmore Town,BS,80.28,scattered clouds,25.5,-76.65,Coral Sands Hotel
435,Darab,IR,65.52,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
437,Benicarlo,ES,71.91,overcast clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
439,East London,ZA,67.78,scattered clouds,-33.0153,27.9116,Tu Casa
440,Acarau,BR,78.87,clear sky,-2.8856,-40.12,castelo pizzaria
441,Jinxiang,CN,65.46,overcast clouds,27.4327,120.6062,Wolong Village
442,Mayo,US,61.39,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
443,Sibolga,ID,77.85,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
444,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
449,Tahta,EG,68.41,clear sky,26.7693,31.5021,فندق الزيات
451,Kampene,CD,69.3,overcast clouds,-3.6,26.6667,
453,Formosa,AR,76.98,light rain,-26.1775,-58.1781,Asterión Departamentos
456,Sao Joao Da Ponte,BR,71.11,overcast clouds,-15.9292,-44.0078,Hotel da Cidade
460,Thoen,TH,76.44,few clouds,17.6129,99.2161,บ้านห้องนอน
461,Port Augusta,AU,68.47,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
462,Makakilo City,US,88.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
463,Alice Springs,AU,89.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
464,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
466,Zunyi,CN,60.71,overcast clouds,27.6867,106.9072,Bishiluo Hostel
467,Villanueva,HN,80.04,few clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
468,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
469,Touros,BR,78.28,clear sky,-5.1989,-35.4608,INN NEW HORIZON
471,Shujaabad,PK,68.05,clear sky,29.8797,71.2931,Amir jewellery collection
472,Bakani,IN,64.8,clear sky,24.2833,76.2333,Ramesh ji dangi thekedar
473,Kilindoni,TZ,76.35,clear sky,-7.9139,39.6668,Bustani B&B
474,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
477,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
479,Lalmohan,BD,72.3,light rain,22.3384,90.7419,Arifur Rahman Miraj
481,Kutum,SD,68.59,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
485,Oriximina,BR,82.89,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
487,Araouane,ML,79.27,broken clouds,18.9048,-3.5265,
488,Ovalle,CL,63.41,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
490,Wamba,NG,75.42,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
491,Koulikoro,ML,79.86,overcast clouds,14.0,-7.75,
492,Peniche,PT,65.28,light rain,39.3558,-9.3811,Hotel Star inn Peniche
494,Garowe,SO,75.06,few clouds,8.4054,48.4845,Curubo Hotel
498,Bisignano,IT,72.39,clear sky,39.5059,16.2772,Motel Kratos
500,Sakakah,SA,71.17,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
501,Canutama,BR,76.15,moderate rain,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
502,Bambui,BR,70.77,scattered clouds,-20.0064,-45.9769,Paulinelli Palace Hotel
504,Khetia,IN,69.71,clear sky,21.6667,74.5833,Mastana Hotel
505,Alta Floresta,BR,70.97,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
507,San Quintin,MX,66.58,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
510,Mao,ES,70.36,few clouds,39.8885,4.2658,ARTIEM Capri
511,Huaquechula,MX,70.34,overcast clouds,18.7667,-98.55,Locales Guadalupe
512,Ulladulla,AU,73.99,scattered clouds,-35.35,150.4667,Sandpiper Motel
513,Kibondo,TZ,65.79,overcast clouds,-3.5864,30.7203,Pongezi Annex Guest House
515,Maraba,BR,82.58,broken clouds,-5.3686,-49.1178,Hotel Del Principe
